PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
84788,20121130,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,64,55,220.59900,252.05000,252.05000,648892,0.082256,251.92000,252.05000,452959,1,1,252.05000,,20121130,0.082256,0.006192,0.002951,0.002790,0.000142,0.002847
84788,20121231,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130117,,,,,1,6,65,55,245.17999,261.50000,250.87000,622229,-0.004682,251.27000,251.28000,454000,1,1,250.87000,,20121231,-0.004682,0.012529,0.008978,0.021872,0.016406,0.007068
84788,20130131,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130221,,,,,1,6,66,55,257.31000,283.98999,265.50000,886216,0.058317,265.50000,265.56000,454551,1,1,265.50000,,20130131,0.058317,0.054145,0.052937,0.063509,0.062680,0.050428
84788,20130228,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130327,,,,,1,6,64,55,257.20999,269.75000,264.26999,721653,-0.004633,264.13000,264.17001,454967,1,1,264.26999,,20130228,-0.004633,0.008340,0.006136,0.003500,0.002060,0.011061
84788,20130328,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130411,,,,,1,6,63,55,253.39000,275.59000,266.48999,622783,0.008401,266.39999,266.48001,455000,1,1,266.48999,,20130328,0.008401,0.035294,0.033528,0.031419,0.029529,0.035988
84788,20130430,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130627,,,,,1,6,63,55,249.74001,274.70001,253.81000,822621,-0.047581,253.78999,253.80000,455243,1,1,253.81000,,20130430,-0.047581,0.014947,0.013770,0.002477,0.001376,0.018086
84788,20130531,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,64,55,248.23000,269.89999,269.20001,629395,0.060636,269.00000,269.04001,455243,1,1,269.20001,,20130531,0.060636,0.019074,0.016515,0.023985,0.022131,0.020763
84788,20130628,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130711,,,,,1,6,63,55,265.70001,281.76001,277.69000,625412,0.031538,277.69000,277.70001,457000,1,1,277.69000,,20130628,0.031538,-0.015036,-0.017051,-0.013012,-0.015631,-0.014999
84788,20130731,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,20130929,,,,,1,6,61,55,282.10001,312.01001,301.22000,712775,0.084735,301.26001,301.26999,456884,1,1,301.22000,,20130731,0.084735,0.052717,0.051280,0.054898,0.053720,0.049462
84788,20130830,,11,3,7370,02313510,AMZN,AMAZON COM INC,,AMZN,454110,Q,A,R,15473,20733,3,7370,02313510,,,,,,,,0,,,,,,,,,,,,,,1,6,61,55,280.92999,305.57001,280.98001,463909,-0.067193,280.82999,280.98999,456884,1,1,280.98001,,20130830,-0.067193,-0.025727,-0.027904,-0.017278,-0.019029,-0.031298
